#	NATION	SKILL	PLAYSTYLE	FORMATION	APPROACH	PASSING	CHANCES	DRIBBLING	CREATIVITY	SET PIECES	TIME WASTING	POS. LOST	POS. WON	GK PASSING	PRESSING	DEF. LINE	DL BEHAVIOR	TACKLING	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10	#11	#12	#13	#14	#15	#16
RUD	Rudania	78	Counter	5-3-2	Pass Into Space	More Direct	No Instruction	No Instruction	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Get Stuck In	I. Ivanov	V. Krestovsky	S. Smirnov	T. Oorzhak [+]	A. Razumovsky	M. Popov	K. Zvezdinsky [+]	N. Ayusheev	D. Kuznetsov [*]	E. Pobedonostsev	P. Sokolov	R. Safin	F. Chistyakov	I. Novikov	L. Vronsky	O. Yudin
VER	The Verdanie	77	Gegenpress	4-3-3	No Instruction	Standard	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Never	Counter-Press	Counter	Short	Much Higher	Higher	Step Up	No Instruction	J. Duplessie	M. St. Laurent	C. Beaubari [+]	J. Montecard [+]	M. Pelletier	C. Roy	E. Floranco	M. Dubois [+]	E. Caracciolo	L. Kuzumaki	G. Belkacem	T. Breville	S. Morand	P. Rousseau	L. Vacherot	G. Alexandre
SEL	Selmira	76	Counter	4-1-4-1	No Instruction	More Direct	Shoot On Sight	Run At Defence	Be More Expressive	Play for Set Pieces	Sometimes	Counter-Press	Counter	No Instruction	Higher	Standard	No Instruction	Get Stuck In	A. Aydın [+]	T. Kenaanoğlu	E. Polat	S. Sayda	M. Doğan	V. Surlu	Y. Koç	C. Kartaca	O. Çetin [+]	B. Balyoz	H. Şen	D. Asur	K. Bulut	I. Fenik	F. Kaplan	Z. Tarık
NKI	Kinshū	76	Gegenpress	4-1-4-1	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Sometimes	Regroup	No Instruction	No Instruction	Standard	Standard	Drop Off	No Instruction	D. Dhamarrandji [+]	K. Ikeda	G. Munyarryun	A. Gurruwiwi	N. Jungarrayi	O. Matsumoto [+]	L. Mununggurr	H. Tjapaltjarri	B. Wunungmurra	J. Kurosawa	M. Jakamarra [*]	F. Dhurrkay	P. Tjungurrayi	E. Matsumoto	R. Kngwarreye	I. Goto
CAL	Calveria	74	Balanced	4-4-2	No Instruction	More Direct	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	No Instruction	No Instruction	Standard	Standard	No Instruction	Get Stuck In	J. Miller	T. Yazzie	E. Harrison	M. Tsosie	C. Caldwell	A. Begay	W. Gallagher [+]	D. Benally	K. Nakai	L. Nez	H. Peshlakai [+]	P. Chee	N. Jennings	S. Davis	V. Brooks	R. Preston
PON	Ponurvia	74	Gegenpress	4-3-3	Pass Into Space	Standard	Shoot On Sight	Be More Disciplined	Be More Expressive	Play for Set Pieces	Never	Counter-Press	Hold Shape	No Instruction	Much Higher	Standard	Offside Trap	Stay On Feet	M. Mollenhauer	J. Wanamaker	L. Bopp	T. Zartmann	E. Snyder	D. Fassbender	C. Neitzel	A. Rittenhouse [+]	S. Stracke	W. Giesel [+]	R. Schlösser	K. Eckert	N. Custer	P. Hoffmeister	H. Kinkeldey	V. Scherer
SID	Sidanya	72	Balanced	4-2-3-1	Pass Into Space	Standard	No Instruction	No Instruction	No Instruction	No Instruction	Sometimes	No Instruction	Counter	No Instruction	Standard	Standard	No Instruction	No Instruction	O. Shevchenko	V. Nalyvaiko	I. Kovalenko	Y. Kryvonis	N. Melnyk	M. Holoborodko	T. Bondarenko	D. Perebyinis [+]	A. Tkachenko	K. Vernydub	S. Boyko	B. Skoropadsky	O. Kravchenko	P. Dovzhenko	I. Moroz	L. Chornovil
FUR	Furan	72	Counter	4-1-4-1	Pass Into Space	More Direct	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Stay On Feet	Y. Chen	L. Wu	J. Shen	X. Qian	M. Xiong	H. Peng	F. Lu	Q. Zhu	T. Gu	S. Huang	W. Mao [+]	R. Deng	B. Ye	Z. Fang	K. Tan	N. Jiang
CAH	Cahaya	71	Wing Play	3-4-3	Pass Into Space	Standard	No Instruction	Run At Defence	Be More Expressive	No Instruction	Sometimes	Counter-Press	Counter	No Instruction	Higher	Standard	No Instruction	Stay On Feet	R. Wijaya	L. Kitingan	T. Setiawan [+]	P. Jugah	A. Ginting	S. Madius	W. Wibowo	E. Bansa	M. Djelantik	K. Kurup	D. Siregar	G. Parengkuan	H. Mutang	V. Sastrowardoyo	N. Panggabean	C. Kulleh
VKT	Kemet	70	Balanced	4-2-3-1	No Instruction	Standard	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	Counter	No Instruction	Standard	Standard	Drop Off	Stay On Feet	B. Shenouda	G. Salvago	R. Makram	L. Moscatelli	P. Tawadros	N. Rossano	Y. Ghattas	F. Noseda	M. Mina	V. Piromalli [+]	S. Doss	M. Loria	T. Bishoy	E. Zanon	W. Fakhry	C. Baliano
GUA	Guandong	70	Tiki-Taka	3-4-1-2	Play Out of Defence	Shorter	No Instruction	Be More Disciplined	Be More Disciplined	No Instruction	Sometimes	Counter-Press	Hold Shape	Short	Higher	Higher	Step Up	Stay On Feet	Z. Wang	X. Qiao	Y. Li	H. Kong	Q. Zhang	B. Yan	W. Zhao	F. Ji	L. Hao	C. Pei [+]	G. Sun	T. Meng	S. Guo	J. Chai	Y. Ma	D. Jia
GIA	Giathka	70	Counter	4-2-3-1	Pass Into Space	More Direct	Work Ball Into Box	Be More Disciplined	No Instruction	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Standard	Drop Off	Get Stuck In	S. Volkov	R. Stepanov	D. Belov	M. Fedorov	A. Orlov	U. Yusupov	N. Lebedev	B. Vinogradov	I. Morozov	T. Rahimov	V. Polyakov [+]	O. Makarov	K. Kozlov	Y. Bogdanov	P. Egorov	G. Voronov
AST	East Astriya	69	Balanced	4-4-2	No Instruction	Standard	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	No Instruction	No Instruction	Standard	Standard	No Instruction	No Instruction	N. Papadopoulos	K. Paleologos	A. Georgiou	S. Lykoudis	V. Nikolaou	E. Mavromatis	P. Karagiannis [+]	T. Zervas	D. Vlahos	M. Galanis	I. Christodoulou	Y. Athanasiadis	G. Grivas	O. Katsaros	X. Samaras	C. Angelopoulos
VAR	Varahmehr	67	Wing Play	4-3-3	Pass Into Space	More Direct	No Instruction	Run At Defence	No Instruction	No Instruction	Never	Regroup	Counter	Long	Standard	Standard	Drop Off	Get Stuck In	V. Lorestani	E. Dehghan	A. Danesh	P. Tahmasb	T. Hayaii	R. Khalili	M. Sahat	S. Mehrian	A. Mahdavi	S. Shakibaii	P. Nazeri [+]	C. Nassirian	E. Rastkar	M. Shahi	S. Bozorgi	K. Rezghi
ATK	Tonkin	66	Counter	4-1-4-1	Pass Into Space	More Direct	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Stay On Feet	J. Nguyen [+]	M. Ton That	P. Le	C. Khuat	D. Tran	F. Doan	L. Vu	A. Thach	S. Pham	E. Trieu	V. Ngo	R. Mach	G. Bui	H. Luong	T. Dang	B. Quach
PER	Perovska	64	Counter	4-4-2	Pass Into Space	More Direct	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Get Stuck In	E. Karpov	S. Andreev	G. Nikitin	O. Mamut	L. Gusev	K. Zaytsev	R. Titov	D. Kenzhebayev	M. Kulikov	A. Turghun	F. Frolov	V. Markov	I. Baranov	N. Shirokov	T. Tarasov	P. Denisov
ASP	South Pelagonia	63	Tiki-Taka	4-3-3	Play Out of Defence	Shorter	No Instruction	No Instruction	No Instruction	No Instruction	Sometimes	Counter-Press	Hold Shape	Short	Higher	Higher	No Instruction	Stay On Feet	J. Dlamini	C. Buthelézi	M. Ndlovu	J. Mocoéna	E. Khumalo	V. Zoulou	P. Modisé	L. Du Phiri	S. Chabalala	R. Khouza	R. Mbeki	D. Sisoulou	F. Hadebé	G. Nhlapo-Marais	H. Bhéngu	O. Makhanya
ADV	Divia	62	Balanced	4-4-2	No Instruction	Standard	No Instruction	No Instruction	No Instruction	Play for Set Pieces	Sometimes	Regroup	No Instruction	No Instruction	Standard	Standard	No Instruction	No Instruction	K. Janabi	A. Doski	T. Mutairi	O. Bayati	M. Nerweyi	S. Azzawi	R. Enezi	B. Khafaji	V. Kohlmann	R. Barzani	P. Rekabi	H. Rashidi	J. Barwari	G. Musawi	W. Pfeiffer	X. Hawrami
NHO	Hōrai	62	Balanced	4-4-2	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Sometimes	Counter-Press	Counter	Long	Higher	Standard	Drop Off	No Instruction	I. Tarafdar	B. Larma	P. Chakma	R. Mridha	A. Tripura	M. Sangma	S. Murmu	W. Naqvi	N. Fujikawa	K. Nagase	T. Howlader	E. Patwary	O. Bepari	D. Pramanik	Z. Soren	G. Marak
RAN	Anticostia	59	Balanced	4-4-2	No Instruction	More Direct	No Instruction	No Instruction	No Instruction	No Instruction	Sometimes	Regroup	No Instruction	No Instruction	Standard	Standard	No Instruction	Get Stuck In	A. Debassige	F. Varela	G. Wemigwans	D. Obomsawin	M. Herrera	K. Nottaway	E. Wagamese	J. Fonseca	C. Papatie	N. Nadjiwon	B. Manitowabi	P. Pedrosa	H. Tenasco	O. Panadis	L. Kakepetum	I. Wawanolet
AED	Dämmerung Islands	58	Balanced	4-3-3	No Instruction	Standard	No Instruction	No Instruction	No Instruction	No Instruction	Sometimes	No Instruction	No Instruction	No Instruction	Standard	Standard	No Instruction	No Instruction	K. Kanakaole	G. Van Leeuwen	N. Kealoha	A. Steiner	I. Makoa	U. Piipiilani	P. Nainoa	D. Mulder	H. Kahananui	E. Pokipala	L. Kekoa	W. Kooijman	M. Kinimaka	F. Mahoe	O. Naone	J. Kupihea
ENR	Noradia	57	Balanced	4-4-2	No Instruction	Standard	No Instruction	No Instruction	No Instruction	No Instruction	Sometimes	Regroup	No Instruction	No Instruction	Standard	Standard	No Instruction	Stay On Feet	B. Mohapatra	S. Markam	F. Tirkey	R. Cavendish	K. Rath	G. Hansda	A. Bamford	L. Hembrom	D. Soren	N. Senapati	M. Patnaik	P. Toppo	J. Lakra	T. Khuntia	H. Netam	C. Forsyth
