GEN	Genosa	80	76.8	Gegenpress	3-4-3	Pass Into Space	Standard	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Higher	Standard	No Instruction	Stay On Feet	(87) Miklós NAGY	(78) Levente KOVÁCS	(77) Zalán VÁRADI	(76) András KELEMEN	(76) Balázs ABA	(88) Péter SZABÓ	(75) Zvonimir PAŠALIĆ	(75) Tibor ALMÁSI	(80) Attila HEGEDŰS	(77) Vilmos SZILÁGYI	(76) Nándor MÉSZÁROS	(77) Saša RADOVIĆ	(78) Gergő TÓTH	(77) Mátyás SZENDREI	(76) Zoltán TÓTH	(74) Márton NAGY	(74) Tibor FAZÉKAS	(73) Ferencz VÁGÓ	(72) Mircea IONESCU	(76) András ARATÓ	(74) Dénes VARGA	(74) Ferenc CSIKÓS	#386945	#c62828	Szerencsehely	Genosa-Velodrom	EUFA
RUD	Rudania	79	77.1	Tiki-Taka	5-3-2	Pass Into Space	More Direct	No Instruction	No Instruction	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Get Stuck In	(79) Ivan DOLGORUKIY	(74) Lavr VRONSKY	(80) Timur OORZHAK	(77) Sergei SMIRNOV	(77) Vsevolod KRESTOVSKY	(79) Matvei POPOV	(80) Rodion PROKHOROV	(82) Kuzma ZVEZDINSKY	(77) Vladimir SMIRNOVIC	(79) Pavel SOKOLOV	(87) Denis KUZNETSOV	(75) Ravil SAFIN	(76) Evgeny MAKAROV	(76) Alexei RAZUMOVSKY	(74) Fyodor CHISTYAKOV	(72) Lev ZHDANOV	(69) Ivan SITNIKOV	(78) Jerzy WIŚNIEWSKI	(77) Namsarai AYUSHEEV	(76) Szymon KOWALCZYK	(75) Erast POBEDONOSTSEV	(77) Alex KACZMAREK	#bc4545	#1a237e	Radagorsk	Arena CSKA	EUFA
SEL	Selmira	78	77.2	Wing Play	4-1-4-1	No Instruction	More Direct	Shoot On Sight	Run At Defence	Be More Expressive	Play for Set Pieces	Sometimes	Counter-Press	Counter	No Instruction	Higher	Standard	No Instruction	Get Stuck In	(82) Ahmet AYDIN	(84) Tunç KENAANOĞLU	(75) Sarp SAYDA	(74) Muzaffer DOĞAN	(76) Erdem POLAT	(83) Orkun ÇETİN	(82) Yavuz KOÇ	(75) Cihan KARTACA	(74) Ferhat KAPLAN	(76) Batuhan BALYOZ	(77) Haydar ŞEN	(77) Volkan ARSLAN	(74) Kutay BULUT				(77) Selçuk DEMIRCI	(76) Vural SURLU				(73) Zafer TARIK	#8e000f	#e0d4b5	Azmashir	Papazın Çayırı	PFA
PON	Ponurvia	77	77.4	Gegenpress	4-3-3	Pass Into Space	Standard	Shoot On Sight	Be More Disciplined	Be More Expressive	Play for Set Pieces	Never	Counter-Press	Hold Shape	No Instruction	Much Higher	Standard	Offside Trap	Stay On Feet	(80) Maximilian MOLLENHAUER	(82) Jedidiah WANAMAKER	(76) Tilman ZARTMANN	(75) Liam BOPP	(76) Ephraim SNYDER	(79) Diedrich FASSBENDER	(82) August RITTENHOUSE	(75) Pirmin HOFFMEISTER	(82) Siegmund STRACKE	(81) Wilhelm GIESEL	(77) Robert SCHLÖSSER	(75) Korbinian ECKERT	(74) Nathanael CUSTER				(75) Conan NEITZEL	(75) Patrick STUMPFEGGER		(74) Volkmar SCHERER			#02750b	#f0e6d2	Aschengel	Aschengel-Gedenkkolosseum	CONSEAF
NKI	Kinshū	76	74.9	Wing Play	3-4-1-2	No Instruction	Much More Direct	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Sometimes	Regroup	No Instruction	Short	Standard	Much Higher	No Instruction	Stay On Feet	(79) Daigo DHAMARRANDJI	(76) Takumi MUNYARRYUN	(74) Keigo IKEDA	(74) Ren JUNGARRAYI	(84) Kensuke MUNUNGGURR	(74) Tatsuki WUNUNGMURRA	(72) Kaito TJAPALTJARRI	(73) Eijiro MATSUMOTO	(74) Junichiro KUROSAWA	(85) Masaru JAKAMARRA	(72) Itsuki GOTO	(72) Fumiya DHURRKAY	(73) Shota GURRUWIWI			(75) Osamu MATSUMOTO	(71) Riku KNGWARREYE				(70) Shinji TADAYAMA		#c17817	#4e342e	Seitou	Seitou Cricket Ground	PFA
CAH	Cahaya	76	74.1	Wing Play	3-4-3	Pass Into Space	Standard	No Instruction	Run At Defence	Be More Expressive	No Instruction	Sometimes	Counter-Press	Counter	No Instruction	Higher	Standard	No Instruction	Stay On Feet	(75) Raka WIJAYA	(79) Teguh SETIAWAN	(74) Panting JUGAH	(71) Hipui MUTANG	(74) Wahyu WIBOWO	(73) Eliezer BANSA	(72) Sabin MADIUS	(72) Vidi SASTROWARDOYO	(83) Made DJELANTIK	(74) Kannan KURUP	(79) Daulat SIREGAR	(72) Gersom PARENGKUAN	(77) Linus KITINGAN			(70) Natanael PANGGABEAN	(70) Anta GINTING			(71) Cyprian KULLEH			#ffc609	#1b5e20	Ganjau	Lapangan Pusat Ganjau	VAFC
ATK	Tonkin	76	74.1	Wing Play	4-1-4-1	Pass Into Space	More Direct	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Stay On Feet	(74) Janh NGUYEN	(73) Manh TON THAT	(74) Cuong KHUAT	(75) Félix DOAN	(72) Duy TRAN	(70) Huy LUONG	(77) Lam VU	(73) Sang PHAM	(72) Thinh DANG	(82) Étienne TRIEU	(81) Vinh NGO	(72) Rithy MACH	(71) Gia BUI				(69) An THACH					(76) Phong LE	#da251d	#4fc3f7	Ville Tonkinoise		VAFC
AST	East Astriya	75	73.7	Balanced	4-4-2	No Instruction	Standard	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	No Instruction	No Instruction	Standard	Standard	No Instruction	No Instruction	(81) Nikolaos PAPADOPOULOS	(72) Kleanthis PALEOLOGOS	(73) Aristeidis GEORGIOU	(71) Spyridon LYKOUDIS	(73) Vlasios NIKOLAOU	(76) Epaminondas MAVROMATIS	(72) Prokopis KARAGIANNIS	(70) Xenophon SAMARAS	(79) Themistoklis ZERVAS	(87) Miltiadis GALANIS	(71) Iraklis CHRISTODOULOU	(71) Yerasimos ATHANASIADIS	(70) Grigorios GRIVAS				(72) Odysseas KATSAROS	(70) Dionysios VLAHOS			(71) Charalambos ANGELOPOULOS		#ff8802	#1565c0	Aspadana	Stádio Kanoniobolismoú	EUFA
SID	Sidanya	75	73.4	Counter	4-2-3-1	Pass Into Space	Standard	No Instruction	No Instruction	No Instruction	No Instruction	Sometimes	No Instruction	Counter	No Instruction	Standard	Standard	No Instruction	No Instruction	(89) Oleksandr SHEVCHENKO	(73) Vasyl NALYVAIKO	(72) Ihor KOVALENKO	(74) Kazimierz WÓJCIK	(77) Bartosz JASTRZĘBSKI	(76) Danylo PEREBYINIS	(75) Taras BONDARENKO	(77) Sviatoslav BOYKO	(70) Mykola HOLOBORODKO	(70) Klym VERNYDUB	(73) Artem TKACHENKO	(71) Bohdan SKOROPADSKY	(71) Kanta ZIELENSKI	(72) Yaroslav KRYVONIS	(71) Nazar MELNYK		(71) Pavlo DOVZHENKO	(69) Illia MOROZ				(70) Levko CHORNOVIL	#f4c430	#bf0103	Groscown		EUFA
VAR	Varahmehr	75	72.5	Wing Play	4-2-3-1	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Sometimes	Counter-Press	Hold Shape	Short	Higher	Standard	Step Up	Stay On Feet	(80) Vahid LORESTANI	(74) Parviz TAHMASB	(73) Ardalan DANESH	(72) Touraj HAYAII	(70) Erfan RASTKAR	(74) Siavash MEHRIAN	(72) Mehran SHAHI	(71) Rostam KHALILI	(79) Ashkan MAHDAVI	(82) Sepideh SHAKIBAII	(78) Pedram NAZERI	(71) Chahrokh NASSIRIAN	(73) Eskandar DEHGHAN	(70) Sohrab BOZORGI	(66) Mohsen TABRIZI	(66) Kianoush BAHARI	(71) Kaveh REZGHI	(70) Maziar SEHAT	(69) Bijan SHAKIBAII	(73) Farhad ADELSTEIN	(72) Tirdad MANSOURI	(70) Dariush KARIMI	#1A2847	#F4EBD4	Nourabad	Varzeshgāh-e Sepideh-dam	PFA
GIA	Giathka	75	71.7	Counter	4-2-3-1	Pass Into Space	More Direct	Work Ball Into Box	Be More Disciplined	No Instruction	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Standard	Drop Off	Get Stuck In	(75) Semyon VOLKOV	(70) Roman STEPANOV	(71) Maxim FEDOROV	(70) Dmitry BELOV	(70) Anton ORLOV	(77) Boris VINOGRADOV	(72) Ural YUSUPOV	(80) Ilya MOROZOV	(70) Tolib RAHIMOV	(71) Nikolai LEBEDEV	(77) Valery POLYAKOV	(69) Oleg MAKAROV	(68) Konstantin KOZLOV				(70) Yuri BOGDANOV	(68) Pyotr EGOROV				(69) Gleb VORONOV	#b45f06	#212121	Britannica		VAFC
SGD	Seignid	75	71.0	Wing Play	4-4-2	No Instruction	Standard	No Instruction	Run At Defence	No Instruction	No Instruction	Sometimes	Regroup	Counter	No Instruction	Standard	Standard	No Instruction	Stay On Feet	(73) Renzo AGBAYANI	(79) Narra CATACUTAN	(73) Tadhana BATUMBAKAL	(70) Lakan DIMAYUGA	(71) Sagip GATMAITAN	(69) Hiraya HALILI	(71) Kidlat ILAGAN	(71) Puso KALAW	(77) Makisig LIWANAG	(71) Catmon NACPIL	(70) Jao MACARAEG	(69) Farid PANGANIBAN	(68) Voltaire SALONGA				(69) Elan UMALI	(67) Araw TAPANG			(68) Dakila YABUT		#d3b27a	#3949ab	Balong		VAFC
VER	The Verdanie	74	76.1	Gegenpress	4-2-3-1	Pass Into Space	Shorter	Work Ball Into Box	Run At Defence	Be More Expressive	Play for Set Pieces	Never	Counter-Press	Counter	Short	Higher	Higher	Step Up	Stay On Feet	(74) Jadèl BENSOUSSAN	(75) MYTHONSSIU	(80) Stéphane MORAND	(76) Réjean TREMBLAY	(78) Thibault BALCIER	(74) Jacques MORAND	(77) Émile FLORANCO	(80) Pierre ROUSSEAU	(76) Roger BÉLANGER	(76) GESORGINÉ	(84) Gabriel ALEXANDRE	(73) ZARBISSIU	(76) SOUVENIÉ	(75) Julien SCHMIDT	(75) Gaétan MORIN	(74) RIHENIU	(76) Ghislain GAGNON	(75) Mathieu WEBER	(74) Rémi SCHULZ	(74) Maxime RUSSO	(74) GONSAIGNU	(78) VOLTINU	#0d602e	#004e93	Rive-de-Janvier	La Maracané	CONSEAF
FUR	Furan	74	72.6	Counter	4-1-4-1	Pass Into Space	More Direct	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Stay On Feet	(75) Yang CHEN	(72) Liang WU	(72) Xiang QIAN	(71) Junwei SHEN	(74) Mingzhe XIONG	(73) Haoran PENG	(79) Sheng HUANG	(73) Fengqi LU	(71) Qiang ZHU	(74) Tianyu GU	(78) Zemin MAO	(70) Rui DENG	(69) Bowen YE				(71) Zhiyuan FANG	(69) Kai TAN				(70) Ning JIANG	#36c526	#cc2222	Hanyang		VAFC
KMT	Kemet	72	72.9	Balanced	4-2-3-1	No Instruction	Standard	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	Counter	No Instruction	Standard	Standard	Drop Off	Stay On Feet	(75) Shenoute NEBAMUN	(73) Pakhom USERHAT	(74) Pishoy DJEHUTY	(73) Hor SENEDJEM	(68) Papnoute KENAMUN	(79) Anoup PTAHMOSE	(78) Psote NEFERHOTEP	(75) Kolthe HARKHUF	(74) Pisenti RAMOSE	(69) Menas WENNEFER	(77) Sarapamon NAKHTMIN	(69) Panoub SOBEKHOTEP	(68) Onnophre PANEHSY				(70) Moyse AMENMOSE					(71) Phib BAKENKHONS	#1a1a2e	#00695c	Cahira		PFA
GUA	Guandong	72	71.1	Tiki-Taka	3-4-1-2	Play Out of Defence	Shorter	No Instruction	Be More Disciplined	Be More Disciplined	No Instruction	Sometimes	Counter-Press	Hold Shape	Short	Higher	Higher	Step Up	Stay On Feet	(70) Zixuan WANG	(76) Heng KONG	(69) Yuan LI	(68) Shaoyang GUO	(76) Qiushi ZHANG	(74) Changming ZHAO	(72) Bo YAN	(74) Lingyun HAO	(72) Wenkai ZHAO	(75) Chenguang PEI	(73) Guowei SUN	(69) Tianlei MENG	(70) Feng JI	(67) Xuanming QIAO		(69) Yanbo MA	(67) Jiaming CHAI				(68) Dongming JIA		#de2910	#7e57c2	Shanggang		VAFC
NHO	Hōrai	72	70.4	Wing Play	4-2-4	No Instruction	Much More Direct	Work Ball Into Box	Run At Defence	No Instruction	No Instruction	Never	No Instruction	No Instruction	Short	Much Lower	Much Higher	Step Up	Stay On Feet	(71) Ishaan TARAFDAR	(67) Biren LARMA	(67) Raktim MRIDHA	(66) Prashanta CHAKMA	(71) Amal TRIPURA	(70) Manik SANGMA	(69) Shibu MURMU	(71) Waqar NAQVI	(78) Tatsuki AKAGAWA	(74) Noboru FUJIKAWA	(82) Kenji NAGASE	(68) Ehsan PATWARY	(66) Owais BEPARI				(68) Dibyendu PRAMANIK	(67) Zaman SOREN	(75) Tanvir HOWLADER	(66) Gideon MARAK			#006a4e	#ef6c00	Tsubayo	Five Indies Stadium	PFA
ADV	Divia	72	70.0	Balanced	4-4-2	No Instruction	Standard	No Instruction	No Instruction	No Instruction	Play for Set Pieces	Sometimes	Regroup	No Instruction	No Instruction	Standard	Standard	No Instruction	No Instruction	(73) Kerem JANABI	(70) Azad DOSKI	(69) Tariq MUTAIRI	(73) Naguib SHARAWI	(68) Mariwan NERWEYI	(79) Lakhdar HAMIDI	(78) Tamer KHALIL	(75) Yaqub GHATTAS	(68) Viktor KOHLMANN	(84) Neçirvan BARZANI	(66) Peshraw REKABI	(66) Hawraz RASHIDI	(65) Jangir BARWARI	(65) Othman BAYATI	(67) Ghaith MUSAWI	(65) Wolfram PFEIFFER	(67) Safwan AZZAWI	(68) Raed ENEZI	(68) Bassam KHAFAJI		(66) Xebat HAWRAMI		#ce1126	#556b2f	Bachstadt		PFA
LVO	Livonia	72	69.9	Counter	4-1-4-1	No Instruction	More Direct	No Instruction	No Instruction	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Get Stuck In	(78) Axel BERG	(73) Hartwig VON BUXHOEVEDEN	(75) Ernst TIESENHAUSEN	(75) Gvidas RIMKEVIČIUS	(69) Justus HERMANN	(67) Gottfried VIETINGHOFF	(67) Lorenz BECKER	(73) Reinhold VON UNGERN	(68) Woldemar WRANGELL	(69) Otto MANTEUFFEL	(65) Volker KRUSENSTERN	(74) Przemysław NOWAK	(65) Dietrich HOFFMANN	(68) Moritz MÜLLER			(66) Friedrich MEYER	(66) Siegfried SCHULTZ				(70) Paulus SCHMIDT	#677b63	#2c2c2c	Riege		EUFA
POL	Polabiny	71	70.6	Counter	4-4-2	Pass Into Space	More Direct	No Instruction	No Instruction	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Get Stuck In	(70) Jakub SVOBODA	(72) Matěj SKOČDOPOLE	(70) Přemysl KRATOCHVÍL	(68) Dušan TÓTH	(77) Ladislav KUČERA	(68) Zbyněk BEZRUČ	(69) Svatopluk VESELÝ	(68) Radim VOHÁNKA	(71) Tibor HORVÁTH	(79) Karel ČERNÝ	(74) Miroslav PŘIBYL	(68) Emil VALACH	(67) František NOVOTNÝ				(67) Ottó VARGA				(71) Aleš NEJEZCHLEB	(70) Vilém ZLATOHLAVÝ	#008c45	#01579b	Sennino Miasto		EUFA
SHI	Shivon	71	70.3	Counter	4-2-3-1	Pass Into Space	Standard	No Instruction	No Instruction	Be More Disciplined	No Instruction	Sometimes	Regroup	Counter	No Instruction	Standard	Lower	Drop Off	Stay On Feet	(72) Yonatan COHEN	(71) Asaf BAR-LEV	(76) Eren PERETZ	(70) Tomer MIZRAHI	(69) Oded LEVI	(72) Segev EVEN-KHEN	(69) Zamir PELED	(71) Maoz SHAKED	(70) Ravid BITON	(72) Dvir ALON	(72) Gilad DAHAN	(68) Iddo AVNI	(70) Nadav TZUR	(67) Lahav AGAM			(67) Hillel FRIEDMAN					(68) Boaz BEN-AMI	#4c72b7	#fffde7	Gonen		PFA
ASP	South Pelagonia	71	68.4	Tiki-Taka	4-3-3	Play Out of Defence	Shorter	No Instruction	No Instruction	No Instruction	No Instruction	Sometimes	Counter-Press	Hold Shape	Short	Higher	Higher	No Instruction	Stay On Feet	(68) Jabulani DLAMINI	(74) Celani BUTHELÉZI	(68) Mlungisi NDLOVU	(67) Jomo MOCOÉNA	(67) Enhle KHUMALO	(80) Simphiwe CHABALALA	(72) Lebogang DU PHIRI	(68) Vusumuzi ZOULOU	(66) Olwethu MAKHANYA	(68) Rhulani KHOUZA	(67) Rolihlahla MBEKI	(66) Dumisani SISOULOU	(65) Fikile HADEBÉ				(67) Pitso MODISÉ	(67) Gcobani NHLAPO-MARAIS	(65) Hloni BHÉNGU				#007a33	#f9a825	Cap de Bonne-Espérance		PFA
